全国 all
山西省 140000
内蒙古自治区 150000
辽宁省 210000
吉林省 220000
黑龙江省 230000
江苏省 320000
浙江省 330000
安徽省 340000
福建省 350000
江西省 360000
山东省 370000
湖北省 420000
河南省 410000
广东省 440000
湖南省 430000
海南省 460000
重庆 500000
四川省 510000
陕西省 610000
甘肃省 620000
天津 120000
河北省 130000
北京市 110100
宁夏回族自治区 640000
唐山市 130200
邯郸市 130400
邢台市 130500
秦皇岛市 130300
张家口市 130700
保定市 130600
衡水市 131100
阳泉市 140300
晋城市 140500
晋中市 140700
包头市 150200
呼和浩特市 150100
北京 110000
鄂尔多斯市 150600
锡林郭勒盟 152500
鞍山市 210300
抚顺市 210400
天津市 120100
营口市 210800
锦州市 210700
盘锦市 211100
辽阳市 211000
本溪市 210500
铁岭市 211200
葫芦岛市 211400
通化市 220500
四平市 220300
辽源市 220400
松原市 220700
大连市 210200
哈尔滨市 230100
延边朝鲜族自治州 222400
绥化市 231200
南京市 320100
白山市 220600
连云港市 320700
常州市 320400
南通市 320600
淮安市 320800
盐城市 320900
扬州市 321000
泰州市 321200
镇江市 321100
宁波市 330200
苏州市 320500
嘉兴市 330400
舟山市 330900
芜湖市 340200
宿迁市 321300
金华市 330700
铜陵市 340700
淮北市 340600
安庆市 340800
台州市 331000
阜阳市 341200
佳木斯市 230800
六安市 341500
蚌埠市 340300
亳州市 341600
淮南市 340400
厦门市 350200
池州市 341700
滁州市 341100
三明市 350400
漳州市 350600
莆田市 350300
南昌市 360100
景德镇市 360200
宁德市 350900
泉州市 350500
新余市 360500
吉安市 360800
鹰潭市 360600
宜春市 360900
抚州市 361000
上饶市 361100
济南市 370100
枣庄市 370400
烟台市 370600
泰安市 370900
威海市 371000
洛阳市 410300
安阳市 410500
三门峡市 411200
周口市 411600
武汉市 420100
驻马店市 411700
黄石市 420200
宜昌市 420500
萍乡市 360300
南平市 350700
黄冈市 421100
咸宁市 421200
随州市 421300
株洲市 430200
长沙市 430100
福州市 350100
黄山市 341000
九江市 360400
郴州市 431000
广州市 440100
深圳市 440300
珠海市 440400
汕头市 440500
惠州市 441300
中山市 442000
东莞市 441900
揭阳市 445200
自贡市 510300
重庆市 500100
德阳市 510600
攀枝花市 510400
乐山市 511100
内江市 511000
眉山市 511400
雅安市 511800
安康市 610900
武威市 620600
银川市 640100
石嘴山市 640200
固原市 640400
三亚市 460200
广西 450000
贵州省 520000
云南省 530000
西藏 540000
青海省 630000
新疆 650000
石家庄市 130100
承德市 130800
沧州市 130900
廊坊市 131000
太原市 140100
大同市 140200
长治市 140400
朔州市 140600
运城市 140800
忻州市 140900
临汾市 141000
吕梁市 141100
乌海市 150300
赤峰市 150400
通辽市 150500
呼伦贝尔市 150700
巴彦淖尔市 150800
乌兰察布市 150900
兴安盟 152200
阿拉善盟 152900
沈阳市 210100
丹东市 210600
阜新市 210900
朝阳市 211300
长春市 220100
吉林市 220200
白城市 220800
齐齐哈尔市 230200
鸡西市 230300
鹤岗市 230400
双鸭山市 230500
大庆市 230600
伊春市 230700
七台河市 230900
牡丹江市 231000
黑河市 231100
大兴安岭 232700
上海市 310100
无锡市 320200
徐州市 320300
杭州市 330100
温州市 330300
湖州市 330500
绍兴市 330600
衢州市 330800
丽水市 331100
合肥市 340100
马鞍山市 340500
宿州市 341300
巢湖市 340181
宣城市 341800
龙岩市 350800
赣州市 360700
青岛市 370200
淄博市 370300
东营市 370500
潍坊市 370700
济宁市 370800
日照市 371100
莱芜区 370116
临沂市 371300
德州市 371400
聊城市 371500
滨州市 371600
菏泽市 371700
郑州市 410100
开封市 410200
平顶山市 410400
鹤壁市 410600
新乡市 410700
焦作市 410800
濮阳市 410900
许昌市 411000
漯河市 411100
南阳市 411300
商丘市 411400
信阳市 411500
十堰市 420300
襄樊市 420600
鄂州市 420700
荆门市 420800
孝感市 420900
荆州市 421000
恩施 422800
湘潭市 430300
衡阳市 430400
邵阳市 430500
岳阳市 430600
常德市 430700
张家界市 430800
益阳市 430900
永州市 431100
怀化市 431200
娄底市 431300
湘西 433100
韶关市 440200
佛山市 440600
江门市 440700
湛江市 440800
茂名市 440900
肇庆市 441200
梅州市 441400
汕尾市 441500
河源市 441600
阳江市 441700
清远市 441800
潮州市 445100
云浮市 445300
南宁市 450100
柳州市 450200
桂林市 450300
梧州市 450400
北海市 450500
防城港市 450600
钦州市 450700
贵港市 450800
玉林市 450900
百色市 451000
贺州市 451100
河池市 451200
来宾市 451300
崇左市 451400
海口市 460100
成都市 510100
泸州市 510500
绵阳市 510700
广元市 510800
遂宁市 510900
南充市 511300
宜宾市 511500
广安市 511600
达州市 511700
巴中市 511900
资阳市 512000
阿坝 513200
甘孜 513300
凉山 513400
贵阳市 520100
六盘水市 520200
遵义市 520300
安顺市 520400
铜仁市 520600
黔西南 522300
毕节市 520500
黔东南 522600
黔南 522700
昆明市 530100
曲靖市 530300
玉溪市 530400
保山市 530500
昭通市 530600
丽江市 530700
思茅区 530802
临沧市 530900
楚雄 532300
红河 532500
文山 532600
西双版纳 532800
大理 532900
德宏 533100
怒江 533300
迪庆 533400
拉萨市 540100
昌都市 540300
山南市 540500
日喀则市 540200
那曲市 540600
阿里 542500
林芝市 540400
西安市 610100
铜川市 610200
宝鸡市 610300
咸阳市 610400
渭南市 610500
延安市 610600
汉中市 610700
榆林市 610800
商洛市 611000
兰州市 620100
嘉峪关市 620200
金昌市 620300
白银市 620400
天水市 620500
张掖市 620700
平凉市 620800
酒泉市 620900
庆阳市 621000
定西市 621100
陇南市 621200
临夏 622900
甘南 623000
西宁市 630100
海东市 630200
海北 632200
黄南 632300
海南 632500
果洛 632600
玉树 632700
海西 632800
吴忠市 640300
中卫市 640500
乌鲁木齐市 650100
克拉玛依市 650200
吐鲁番市 650400
哈密市 650500
昌吉 652300
博尔塔拉 652700
巴音郭楞 652800
阿克苏 652900
克孜勒苏 653000
喀什 653100
和田 653200
伊犁 654000
塔城 654200
阿勒泰 654300
石河子市 832061
阿拉尔市 843300
图木舒克市 843900
五家渠市 831300
普洱市 530800
儋州市 460400
琼海市 469002
五指山 469001
文昌 469005
万宁 571500
东方 469007
定安 469021
天门市 429006
北屯 659005
白沙 469025
临高 469024
昌江 469026
潜江 429005
琼中 469030
神农架 429021
济源 419001
乐东 469027
仙桃 429004
保亭 469029
澄迈 469023
屯昌 469022
陵水 469028
上海 310000
